Longitud de onda(nm),Potencia(W)
1.5453720000000001e-06,0.002831975929439068
1.5453773e-06,0.0028306706808507442
1.5453831e-06,0.0028330949135124683
1.5453887000000002e-06,0.002832721918821335
1.5453942e-06,0.002831043442711234
1.5453991e-06,0.0028323489241302013
1.5454043e-06,0.002831229940056801
1.5454089e-06,0.002831229940056801
1.545414e-06,0.002829365199431777
1.5454181e-06,0.0028295516967773438
1.5454226e-06,0.0028276867233216763
1.5454262e-06,0.002827873220667243
1.5454304e-06,0.0028261947445571423
1.5454355e-06,0.0028248894959688187
1.5454408e-06,0.002823770511895418
1.5454454e-06,0.002822465030476451
1.5454502e-06,0.002821532543748617
1.5454555e-06,0.002818548819050193
1.5454605000000001e-06,0.0028159378562122583
1.5454658e-06,0.0028116486500948668
1.5454713000000001e-06,0.002807545941323042
1.5454772e-06,0.0028040024917572737
1.5454824e-06,0.0027995267882943153
1.5454870000000001e-06,0.0027963565662503242
1.5454918e-06,0.0027920673601329327
1.545497e-06,0.002788896905258298
1.5455017e-06,0.002783302217721939
1.5455056e-06,0.0027803184930235147
1.5455092e-06,0.0027769615408033133
1.5455125e-06,0.002773977816104889
1.5455172e-06,0.002771553350612521
1.5455225e-06,0.0027667046524584293
1.5455274000000001e-06,0.0027620424516499043
1.5455321e-06,0.0027592452242970467
1.545537e-06,0.002757380250841379
1.5455422e-06,0.0027530910447239876
1.5455471e-06,0.0027508530765771866
1.5455522000000001e-06,0.002748055849224329
1.5455579e-06,0.0027469368651509285
1.5455640000000001e-06,0.0027461908757686615
1.5455688e-06,0.0027463773731142282
1.5455735e-06,0.002747309859842062
1.5455785e-06,0.00275066657923162
1.5455837e-06,0.0027545830234885216
1.5455882e-06,0.002758126240223646
1.5455921e-06,0.002761482959613204
1.5455955e-06,0.0027648399118334055
1.5455993e-06,0.002767637139186263
1.5456044e-06,0.0027734183240681887
1.5456099e-06,0.0027788265142589808
1.5456146e-06,0.0027844212017953396
1.5456195e-06,0.002789642894640565
1.5456245e-06,0.0027944915927946568
1.5456297e-06,0.0027995267882943153
1.5456353e-06,0.00280269724316895
1.5456416e-06,0.002805867465212941
1.5456481e-06,0.0028109026607125998
